latitude,longitude,date
25.671081,-100.353385,2025-02-25
25.718519,-100.342573,2025-02-25
25.719345,-100.342436,2025-02-25
25.678041,-100.331796,2025-02-25
25.678041,-100.331796,2025-02-25
25.736835,-100.367125,2025-02-25
25.728546,-100.368701,2025-02-25
25.787642,-100.382144,2025-02-25
25.687291,-100.35157,2025-02-26
25.741645,-100.405894,2025-02-26
25.704118,-100.316882,2025-02-26
25.684337,-100.324843,2025-02-26
25.722828,-100.330835,2025-02-26
25.63045,-100.305262,2025-02-26
25.728362,-100.389678,2025-02-26
25.7683,-100.368295,2025-02-26
25.714774,-100.350391,2025-02-26
25.667059,-100.290585,2025-02-26
25.681108,-100.303031,2025-02-26
25.6808,-100.351874,2025-02-26
25.678613,-100.296595,2025-02-26
25.656064,-100.289328,2025-02-26
25.749388,-100.42819,2025-02-26
25.754146,-100.428739,2025-02-26
25.734056,-100.400717,2025-02-26
25.713198,-100.37953,2025-02-26
25.696104,-100.380064,2025-02-26
25.671416,-100.285811,2025-02-26
25.69836,-100.334583,2025-02-26
25.650766,-100.298305,2025-02-26
25.667695,-100.285302,2025-02-26
25.706766,-100.338058,2025-02-26
25.648326,-100.27494,2025-02-26
25.736642,-100.336561,2025-02-26
25.707338,-100.31687,2025-02-26
25.696508,-100.31676,2025-02-26
25.683764,-100.303636,2025-02-26
25.678728,-100.314002,2025-02-26
25.731878,-100.38517,2025-02-26
25.770464,-100.428087,2025-02-26
25.704285,-100.319903,2025-02-26
25.63792,-100.294796,2025-02-26
25.70302,-100.34256,2025-02-26
25.66402,-100.312217,2025-02-26
25.66402,-100.312217,2025-02-26
25.68432,-100.317227,2025-02-26
25.685832,-100.2685,2025-02-26
25.681316,-100.297274,2025-02-26
25.664178,-100.312599,2025-02-26
25.601424,-100.265885,2025-02-26
25.611374,-100.271068,2025-02-26
25.6808,-100.351874,2025-02-26
25.6808,-100.351874,2025-02-26
25.699994,-100.362385,2025-02-26
25.667194,-100.284491,2025-02-26
25.68574,-100.312058,2025-02-26
25.620951,-100.271543,2025-02-26
25.64437,-100.288942,2025-02-26
25.653527,-100.289725,2025-02-26
25.668634,-100.298938,2025-02-26
25.676199,-100.306552,2025-02-26
25.741665,-100.411204,2025-02-26
25.72064,-100.387057,2025-02-26
25.69237,-100.333429,2025-02-26
25.730051,-100.346001,2025-02-26
25.698808,-100.352428,2025-02-26
25.687731,-100.347335,2025-02-26
25.685619,-100.351724,2025-02-26
25.639391,-100.284611,2025-02-26
25.676312,-100.307506,2025-02-26
25.663154,-100.318968,2025-02-26
25.634119,-100.305341,2025-02-26
25.675947,-100.312411,2025-02-26
25.689454,-100.287437,2025-02-26
25.699029,-100.331626,2025-02-26
25.678048,-100.323732,2025-02-26
25.718677,-100.365302,2025-02-26
25.717159,-100.384155,2025-02-26
25.673531,-100.352761,2025-02-26
25.67975,-100.33124,2025-02-26
25.666848,-100.319836,2025-02-26
25.718266,-100.310302,2025-02-26
25.633524,-100.299647,2025-02-26
25.687426,-100.344668,2025-02-26
25.696475,-100.345323,2025-02-26
25.643085,-100.274016,2025-02-26
25.674454,-100.314617,2025-02-26
25.703638,-100.285731,2025-02-26
25.600535,-100.265716,2025-02-26
25.725052,-100.342483,2025-02-26
25.696286,-100.288363,2025-02-26
25.641917,-100.303868,2025-02-26
25.673227,-100.300248,2025-02-26
25.649797,-100.274645,2025-02-26
25.774305,-100.420884,2025-02-26
25.762265,-100.383152,2025-02-26
25.674405,-100.298295,2025-02-26
25.682633,-100.301843,2025-02-26
25.684104,-100.298784,2025-02-26
25.682543,-100.299952,2025-02-26
25.687357,-100.337037,2025-02-26
25.678079,-100.316049,2025-02-26
25.690045,-100.33668,2025-02-27
25.668104,-100.334108,2025-02-27
25.6808,-100.351874,2025-02-27
25.558622,-100.226392,2025-02-27
25.666074,-100.297433,2025-02-27
25.67317,-100.352176,2025-02-27
25.710103,-100.340214,2025-02-27
